id,"Business Address",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
153,"1108 Cambridge St","1108 Cambridge St",Cambridge,MA,,42.372992,-71.095779,1,rooftop,1108,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
154,"1667 Mass. Ave.","1667 Massachusetts Ave",Cambridge,MA,,42.382129,-71.119494,1,rooftop,1667,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
155,"500 Kendall St.","500 Kendall St.",Cambridge,MA,,42.363962,-71.081698,1,rooftop,500,"Kendall St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
156,"438 Massachusetts Ave","438 Massachusetts Ave",Cambridge,MA,,42.363527,-71.100859,1,rooftop,438,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
157,"2420 Mass. Ave.","2420 Massachusetts Ave",Cambridge,MA,,42.397399,-71.130766,1,rooftop,2420,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
158,"2096 Mass Ave","2096 Massachusetts Ave",Cambridge,MA,,42.391391,-71.123593,1,rooftop,2096,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
160,"47 Mt. Auburn St","47 Mt. Auburn St",Cambridge,MA,,42.371334,-71.116603,1,rooftop,47,"Mt Auburn St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
161,"545 Concord Avenue   Cambridge MA 02138","545 Concord Avenue   Cambridge MA 02138",Cambridge,MA,,42.388103,-71.142565,1,rooftop,545,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
162,"263 Brookline St.","263 Brookline St.",Cambridge,MA,,42.357666,-71.107842,1,rooftop,263,"Brookline St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
163,"1157 Cambridge Street","1157 Cambridge Street",Cambridge,MA,,42.373281,-71.096582,1,rooftop,1157,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
164,"2020 Mass Ave.","2020 Massachusetts Ave",Cambridge,MA,,42.390579,-71.121873,1,rooftop,2020,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
166,"1199 Cambridge Street","1199 Cambridge Street",Cambridge,MA,,42.373377,-71.097305,1,rooftop,1199,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
167,"9 Broad Canal","9 Broad Canal",Cambridge,MA,,42.363298,-71.082689,1,rooftop,9,"Broad Canal Way",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
168,"506 Cambridge St","506 Cambridge St",Cambridge,MA,,42.371552,-71.084666,1,rooftop,506,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
169,"201 Monsignor O'Brien Highwy","201 Monsignor O'Brien Highwy",Cambridge,MA,,42.380442,-71.132947,0.33,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
170,"1724 Mass. Ave.","1724 Massachusetts Ave",Cambridge,MA,,42.383994,-71.119679,1,rooftop,1724,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
171,"202 Alewife Brook Pwky","202 Alewife Brook Pwky",Cambridge,MA,,42.388965,-71.141895,1,rooftop,202,"Alewife Brook Pkwy",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
172,"Cambridge Galleria","Cambridge Galleria",Cambridge,MA,,42.372866,-71.095128,1,street_center,,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"TIGER/Line® dataset from the US Census Bureau"
173,"738 Massachusetts Ave","738 Massachusetts Ave",Cambridge,MA,,42.366071,-71.10516,1,rooftop,738,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
174,"2180 Mass Ave.","2180 Massachusetts Ave",Cambridge,MA,,42.392428,-71.12511,1,rooftop,2180,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
175,"6 Brattle St.","6 Brattle St.",Cambridge,MA,,42.373508,-71.119766,1,rooftop,6,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
176,"1200 Cambridge Street","1200 Cambridge Street",Cambridge,MA,,42.373176,-71.09734,1,rooftop,1200,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
177,"75 Binney Street","75 Binney Street",Cambridge,MA,,42.365788,-71.080507,1,rooftop,75,"Binney St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
178,"300 Technology Square","300 Technology Square",Cambridge,MA,,42.363417,-71.091772,1,rooftop,300,"Technology Sq",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
179,"82 Ames St","82 Ames St",Cambridge,MA,,42.363312,-71.087597,1,rooftop,82,"Ames St",,,Cambridge,MA,"Middlesex County",02142,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
180,"991 Massachusetts Ave","991 Massachusetts Ave",Cambridge,MA,,42.369402,-71.111034,1,rooftop,991,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
181,"732 Cambridge St","732 Cambridge St",Cambridge,MA,,42.372114,-71.089094,1,rooftop,732,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
182,"1611 Mass Ave.","1611 Massachusetts Ave",Cambridge,MA,,42.380202,-71.119709,1,rooftop,1611,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
183,"127 Smith Place","127 Smith Place",Cambridge,MA,,42.393844,-71.150424,1,rooftop,127,"Smith Pl",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
184,"3 Central Sq.","3 Central Sq.",Cambridge,MA,,42.365092,-71.104371,1,rooftop,3,"Central Sq",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
185,"653 Massachusetts Ave","653 Massachusetts Ave",Cambridge,MA,,42.365603,-71.103732,1,rooftop,653,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
186,"770 Massachusetts Ave","770 Massachusetts Ave",Cambridge,MA,,42.366462,-71.105862,1,rooftop,770,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
187,"450 Massachusetts Ave","450 Massachusetts Ave",Cambridge,MA,,42.363484,-71.101101,1,rooftop,450,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
188,"1790 Mass. Ave.","1790 Massachusetts Ave",Cambridge,MA,,42.385971,-71.119466,1,rooftop,1790,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
190,"1712 Mass. Ave","1712 Massachusetts Ave",Cambridge,MA,,42.383524,-71.119732,1,rooftop,1712,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
192,"15 Broad Canal Way","15 Broad Canal Way",Cambridge,MA,,42.362886,-71.081997,1,rooftop,15,"Broad Canal Way",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
193,"10 Eliot St.","10 Eliot St.",Cambridge,MA,,42.372474,-71.121576,1,rooftop,10,"Eliot St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
194,"1794 Mass. Ave.","1794 Massachusetts Ave",Cambridge,MA,,42.386028,-71.119457,1,rooftop,1794,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
195,"538 Mass. Ave.","538 Massachusetts Ave",Cambridge,MA,,42.36435,-71.102246,1,rooftop,538,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
196,"239 Massachusetts Ave","239 Massachusetts Ave",Cambridge,MA,,42.36168,-71.097145,1,rooftop,239,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
197,"2100 Mass Ave","2100 Massachusetts Ave",Cambridge,MA,,42.39154,-71.123845,1,rooftop,2100,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
199,"1255 Cambridge Street","1255 Cambridge Street",Cambridge,MA,,42.373507,-71.098376,1,rooftop,1255,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
200,"1297 Cambridge Street","1297 Cambridge Street",Cambridge,MA,,42.373626,-71.099202,1,rooftop,1297,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
201,"1920 Mass. Ave.","1920 Massachusetts Ave",Cambridge,MA,,42.389053,-71.119952,1,rooftop,1920,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
203,"1105 Mass. Ave.","1105 Massachusetts Ave",Cambridge,MA,,42.370652,-71.11342,1,rooftop,1105,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
204,"199 Alewife Brook Parkway","199 Alewife Brook Parkway",Cambridge,MA,,42.390145,-71.142729,1,rooftop,199,"Alewife Brook Pkwy",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
205,"1695 Massachusetts Ave.","1695 Massachusetts Ave.",Cambridge,MA,,42.382942,-71.119418,1,rooftop,1695,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
206,"428 Massachusetts Ave","428 Massachusetts Ave",Cambridge,MA,,42.363443,-71.100727,1,rooftop,428,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
207,"616 Cambridge St","616 Cambridge St",Cambridge,MA,,42.371794,-71.08656,1,rooftop,616,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
208,"1695 Mass. Ave.","1695 Massachusetts Ave",Cambridge,MA,,42.382942,-71.119418,1,rooftop,1695,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
209,"1149 Cambridge Street","1149 Cambridge Street",Cambridge,MA,,42.373241,-71.096306,1,rooftop,1149,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
210,"2564 Mass Ave.","2564 Massachusetts Ave",Cambridge,MA,,42.400124,-71.134534,1,rooftop,2564,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
212,"678 Massachusetts Ave","678 Massachusetts Ave",Cambridge,MA,,42.365637,-71.10443,1,rooftop,678,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
213,"89A Norfolk St.","89A Norfolk St.",Cambridge,MA,,42.366401,-71.100591,0.9,rooftop,89,"Norfolk St",Apt,A,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
214,"314 Third Street","314 Third Street",Cambridge,MA,,42.364987,-71.082666,1,rooftop,314,"3rd St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
215,"141 Hampshire Street","141 Hampshire Street",Cambridge,MA,,42.371029,-71.097108,1,rooftop,141,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
217,"496 Mass. Ave","496 Massachusetts Ave",Cambridge,MA,,42.364005,-71.101651,1,rooftop,496,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
218,"1326 Mass. Ave.","1326 Massachusetts Ave",Cambridge,MA,,42.37299,-71.117865,1,rooftop,1326,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
219,"1075 Cambridge St","1075 Cambridge St",Cambridge,MA,,42.373091,-71.095179,1,rooftop,1075,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
220,"5 Cambridge Center","5 Cambridge Center",Cambridge,MA,,42.362839,-71.087465,1,rooftop,5,"Cambridge Ctr",,,Cambridge,MA,"Middlesex County",02142,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
221,"47 Palmer St","47 Palmer St",Cambridge,MA,,42.374298,-71.120078,1,rooftop,47,"Palmer St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
222,"233 River Street","233 River Street",Cambridge,MA,,42.363012,-71.111597,1,rooftop,233,"River St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
223,"1924 Mass. Ave.","1924 Massachusetts Ave",Cambridge,MA,,42.389356,-71.120246,1,rooftop,1924,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
224,"151 Columbia St.","151 Columbia St.",Cambridge,MA,,42.366959,-71.097986,1,rooftop,151,"Columbia St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
225,"11 Broad Canal Way","11 Broad Canal Way",Cambridge,MA,,42.363273,-71.082565,1,rooftop,11,"Broad Canal Way",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
226,"746 Massachusetts Ave.","746 Massachusetts Ave.",Cambridge,MA,,42.366139,-71.105275,1,rooftop,746,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
228,"1287 Cambridge Street","1287 Cambridge Street",Cambridge,MA,,42.373589,-71.098943,1,rooftop,1287,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
229,"247 Cambridge St","247 Cambridge St",Cambridge,MA,,42.371166,-71.080122,1,rooftop,247,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
230,"494A Cambridge St","494A Cambridge St",Cambridge,MA,,42.371529,-71.084489,0.9,rooftop,494,"Cambridge St",Apt,A,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
231,"498 Cambridge St","498 Cambridge St",Cambridge,MA,,42.371538,-71.084578,1,rooftop,498,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
232,"853 Main St","853 Main St",Cambridge,MA,,42.36346,-71.09866,1,rooftop,853,"Main St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
233,"368 Huron Ave.","368 Huron Ave.",Cambridge,MA,,42.381032,-71.139,1,rooftop,368,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
234,"1001 Massachusetts Ave","1001 Massachusetts Ave",Cambridge,MA,,42.369487,-71.111341,1,rooftop,1001,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
235,"35 Brattle St","35 Brattle St",Cambridge,MA,,42.373564,-71.120963,1,rooftop,35,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
236,"795 Main St","795 Main St",Cambridge,MA,,42.363346,-71.097131,1,rooftop,795,"Main St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
237,"0 Harvard Square","0 Harvard Square",Cambridge,MA,,42.380442,-71.132947,0.33,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
238,"501 Kendall St.","501 Kendall St.",Cambridge,MA,,42.363962,-71.081698,0.72,nearest_rooftop_match,500,"Kendall St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
239,"441 Cambridge St","441 Cambridge St",Cambridge,MA,,42.371604,-71.083603,1,rooftop,441,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
240,"2265 Mass. Ave.","2265 Massachusetts Ave",Cambridge,MA,,42.394424,-71.126715,1,range_interpolation,2265,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"TIGER/Line® dataset from the US Census Bureau"
242,"50 Prospect St","50 Prospect St",Cambridge,MA,,42.366243,-71.103146,1,rooftop,50,"Prospect St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
243,"225 Cambridge St","225 Cambridge St",Cambridge,MA,,42.371105,-71.079675,1,rooftop,225,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
244,"285 Green St","285 Green St",Cambridge,MA,,42.365014,-71.104267,1,range_interpolation,285,"Green St",,,Cambridge,MA,"Middlesex County",02139,US,"TIGER/Line® dataset from the US Census Bureau"
245,"300B Athenaeum Street","300B Athenaeum Street",Cambridge,MA,,42.364351,-71.081484,0.9,rooftop,300,"Athenaeum St",Apt,B,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
246,"955 Mass Ave. only","955 Massachusetts Ave only",Cambridge,MA,,42.369028,-71.109926,1,rooftop,955,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
247,"45.5 My. Auburn St","45.5 Mount Auburn St",Cambridge,MA,,42.380442,-71.132947,0.33,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
248,"910 Mass. Ave.","910 Massachusetts Ave",Cambridge,MA,,42.368282,-71.108784,1,rooftop,910,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
249,"536 Massachusetts Ave.","536 Massachusetts Ave.",Cambridge,MA,,42.364318,-71.102196,1,rooftop,536,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
250,"1780 Mass. Ave.","1780 Massachusetts Ave",Cambridge,MA,,42.385814,-71.119481,1,rooftop,1780,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
252,"2072 Mass Ave","2072 Massachusetts Ave",Cambridge,MA,,42.39118,-71.123205,1,rooftop,2072,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
254,"75 First Street","75 First Street",Cambridge,MA,,42.368378,-71.077582,1,rooftop,75,"1st St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
255,"2327 Mass. Ave.","2327 Massachusetts Ave",Cambridge,MA,,42.395908,-71.128316,1,rooftop,2327,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
256,"202 Third Street","202 Third Street",Cambridge,MA,,42.367592,-71.08107,1,rooftop,202,"3rd St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
257,"401 Massachusetts Ave.","401 Massachusetts Ave.",Cambridge,MA,,42.363572,-71.099948,1,rooftop,401,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
258,"200 Elm Street North","200 Elm Street North",Cambridge,MA,,42.393354,-71.12074,1,range_interpolation,200,"Elm St",,,"North Cambridge",MA,"Middlesex County",02140,US,"TIGER/Line® dataset from the US Census Bureau"
259,"26 Brattle St","26 Brattle St",Cambridge,MA,,42.373212,-71.12044,1,rooftop,26,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
260,"82 Mt. Auburn St","82 Mt. Auburn St",Cambridge,MA,,42.372258,-71.119537,1,rooftop,82,"Mt Auburn St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
261,"272 Brookline St.","272 Brookline St.",Cambridge,MA,,42.357391,-71.107873,1,rooftop,272,"Brookline St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
262,"1033 Massachusetts Ave.","1033 Massachusetts Ave.",Cambridge,MA,,42.369706,-71.11193,1,rooftop,1033,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
263,"571 Massachusetts Ave.","571 Massachusetts Ave.",Cambridge,MA,,42.364878,-71.102516,1,rooftop,571,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
264,"2000 Mass. Ave.","2000 Massachusetts Ave",Cambridge,MA,,42.390347,-71.121412,1,rooftop,2000,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
265,"276 Broadway","276 Broadway",Cambridge,MA,,42.367868,-71.097592,1,rooftop,276,Broadway,,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
266,"2067 Mass. Ave.","2067 Massachusetts Ave",Cambridge,MA,,42.391478,-71.123102,1,rooftop,2067,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
267,"1357 Cambridge Street","1357 Cambridge Street",Cambridge,MA,,42.373746,-71.100144,1,rooftop,1357,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
268,"2370 Mass. Ave.","2370 Massachusetts Ave",Cambridge,MA,,42.396557,-71.129601,1,range_interpolation,2370,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"TIGER/Line® dataset from the US Census Bureau"
269,"73 Ames Street","73 Ames Street",Cambridge,MA,,42.363315,-71.088151,1,rooftop,73,"Ames St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
270,"950 Massachusetts Ave","950 Massachusetts Ave",Cambridge,MA,,42.36861,-71.110146,1,rooftop,950,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
272,"222 Broadway","222 Broadway",Cambridge,MA,,42.366463,-71.094031,1,rooftop,222,Broadway,,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
274,"2480 Mass. Ave.","2480 Massachusetts Ave",Cambridge,MA,,42.398662,-71.132025,1,rooftop,2480,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
275,"616 Mass Ave.","616 Massachusetts Ave",Cambridge,MA,,42.365001,-71.103349,1,rooftop,616,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
276,"1001 Mass. Ave.","1001 Massachusetts Ave",Cambridge,MA,,42.369487,-71.111341,1,rooftop,1001,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
277,"261 Cambridge St","261 Cambridge St",Cambridge,MA,,42.371188,-71.080296,1,rooftop,261,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
278,"561 Cambridge St","561 Cambridge St",Cambridge,MA,,42.371852,-71.085573,1,rooftop,561,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
279,"375 Huron Ave.","375 Huron Ave.",Cambridge,MA,,42.381233,-71.139009,1,rooftop,375,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
280,"PO Box 390148","PO Box 390148",Cambridge,MA,,42.380442,-71.132947,1,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
281,"145 Huron Ave","145 Huron Ave",Cambridge,MA,,42.382775,-71.130702,1,rooftop,145,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
282,"83 Mt. Auburn St","83 Mt. Auburn St",Cambridge,MA,,42.372497,-71.119736,1,rooftop,83,"Mt Auburn St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
283,"1687 Mass. Ave","1687 Massachusetts Ave",Cambridge,MA,,42.382765,-71.119437,1,rooftop,1687,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
284,"319 Massachusetts Ave","319 Massachusetts Ave",Cambridge,MA,,42.362489,-71.098521,1,rooftop,319,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
285,"65 JFK St.","65 JFK St.",Cambridge,MA,,42.371686,-71.121059,1,rooftop,65,"Jfk St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
286,"2384 Mass. Ave.","2384 Massachusetts Ave",Cambridge,MA,,42.396885,-71.129896,1,rooftop,2384,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
287,"594 Cambridge St","594 Cambridge St",Cambridge,MA,,42.371758,-71.086286,1,rooftop,594,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
289,"54 Church St.","54 Church St.",Cambridge,MA,,42.37411,-71.120907,1,rooftop,54,"Church St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
290,"370 Huron Ave.","370 Huron Ave.",Cambridge,MA,,42.381006,-71.139136,1,rooftop,370,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
291,"766B Cambridge St","766B Cambridge St",Cambridge,MA,,42.372176,-71.089561,0.9,rooftop,766,"Cambridge St",Apt,B,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
292,"1868 Mass. Ave.","1868 Massachusetts Ave",Cambridge,MA,,42.388084,-71.119575,1,rooftop,1868,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
293,"52 New Street","52 New Street",Cambridge,MA,,42.387969,-71.139936,1,rooftop,52,"New St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
294,"350 Third Street","350 Third Street",Cambridge,MA,,42.363684,-71.083354,1,rooftop,350,"3rd St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
295,"12 Eliot St.","12 Eliot St.",Cambridge,MA,,42.372361,-71.121618,1,rooftop,12,"Eliot St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
297,"746 Cambridge St","746 Cambridge St",Cambridge,MA,,42.372148,-71.089349,1,rooftop,746,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
298,"444 Cambridge St","444 Cambridge St",Cambridge,MA,,42.371422,-71.083654,1,rooftop,444,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
299,"1784 Mass. Ave.","1784 Massachusetts Ave",Cambridge,MA,,42.385911,-71.119471,1,rooftop,1784,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
300,"2528 Mass Ave.","2528 Massachusetts Ave",Cambridge,MA,,42.399605,-71.133405,1,rooftop,2528,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
301,"21 Brattle St.","21 Brattle St.",Cambridge,MA,,42.373454,-71.120491,1,rooftop,21,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
302,"1304 Mass Ave","1304 Massachusetts Ave",Cambridge,MA,,42.372857,-71.117368,1,rooftop,1304,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
303,"875 Cambridge St","875 Cambridge St",Cambridge,MA,,42.372612,-71.091413,1,rooftop,875,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
305,"20 Prospect St","20 Prospect St",Cambridge,MA,,42.365861,-71.103554,1,rooftop,20,"Prospect St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
307,"271 Brookline St.","271 Brookline St.",Cambridge,MA,,42.357469,-71.108052,1,rooftop,271,"Brookline St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
308,"1305 Cambridge Street","1305 Cambridge Street",Cambridge,MA,,42.373641,-71.099374,1,rooftop,1305,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
309,"763 Massachusetts Ave.","763 Massachusetts Ave.",Cambridge,MA,,42.36662,-71.105435,1,rooftop,763,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
310,"546 Massachusetts Ave","546 Massachusetts Ave",Cambridge,MA,,42.36438,-71.102296,1,rooftop,546,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
