id,Business Address,Address,Latitude,Longitude
36,1206 Massaschusetts Ave,1206 Massachusetts Ave,42.380442,-71.132947
51,40 Edwin Land Blvd,40 Edwin Land Blvd,42.380442,-71.132947
65,25 Edwin Land Blvd,25 Edwin Land Blvd,42.380442,-71.132947
104,One Kendall Square,One Kendall Square,42.380442,-71.132947
169,201 Monsignor O'Brien Highwy,201 Monsignor O'Brien Highwy,42.380442,-71.132947
237,0 Harvard Square,0 Harvard Square,42.380442,-71.132947
247,45.5 My. Auburn St,45.5 Mount Auburn St,42.380442,-71.132947
615,Harvard Science Ctr./1 Education Ctr,Harvard Science Ctr./1 Education Ctr,42.368436,-71.101546
